claim_id,age,policy_tenure_years,claim_amount,annual_premium,num_claims_history,days_to_report,incident_severity,insurance_type,incident_type,police_report_filed,witnesses,vehicle_age_years,deductible_amount,customer_region,fraud_flag
CLM100109,37,16.2,6914.41,1393.31,5,26,Minor,Life,Theft,0,0,8,500,North,0
CLM100110,41,13.5,13807.79,7511.46,4,38,Moderate,Life,Natural,0,0,2,2000,East,0
CLM100111,40,14.8,6188.21,2718.29,10,21,Minor,Life,Theft,1,4,2,1000,East,0
CLM100112,24,8.9,16648.406116562135,2313.61,16,31,Minor,Life,Accident,0,2,17,500,West,1
CLM100113,26,13.8,47882.86823661073,767.17,12,37,Major,Life,Fire,1,0,1,500,West,1
CLM100114,18,12.4,5194.37,2566.97,11,18,Major,Property,Natural,0,4,10,1500,East,0
CLM100115,43,15.5,81656.02300924857,5701.45,16,28,Total Loss,Auto,Natural,1,4,8,1000,West,1
CLM100116,55,9.2,20388.916299903227,3695.27,16,90,Major,Auto,Natural,1,2,1,500,South,1
CLM100117,55,9.7,12394.75,4376.53,3,58,Total Loss,Auto,Theft,0,1,19,1500,North,0
CLM100118,71,13.0,67261.23560046239,7379.72,18,90,Major,Property,Theft,0,4,3,500,East,1
CLM100119,61,2.6,18150.49,1360.17,6,69,Major,Property,Natural,1,0,8,2500,South,0
CLM100120,39,9.0,47686.015587046684,1034.31,14,80,Moderate,Life,Natural,1,1,13,1500,South,1
CLM100121,61,19.5,50711.2124719577,6889.48,10,86,Major,Auto,Accident,1,1,18,2500,Central,1
CLM100122,27,1.2,38535.92,6311.42,13,32,Moderate,Life,Medical,0,1,15,500,East,0
CLM100123,72,6.7,5285.53,2478.01,5,77,Major,Auto,Accident,1,4,13,1500,Central,0
CLM100124,23,6.6,15249.31,2931.76,2,64,Moderate,Health,Natural,0,0,14,1000,South,0
CLM100125,34,12.9,8672.23,2827.08,10,24,Minor,Property,Theft,0,2,17,2000,East,0
CLM100126,68,2.6,2639.369897756345,5358.57,9,90,Total Loss,Health,Theft,0,3,14,500,Central,1
CLM100127,67,12.8,6601.410447440324,959.09,4,62,Major,Auto,Natural,0,3,18,1500,North,1
CLM100128,55,2.4,6895.46,4170.51,13,17,Moderate,Life,Medical,1,1,8,2500,East,0
CLM100129,41,2.4,13486.14,1504.05,12,62,Major,Property,Fire,0,3,15,1500,Central,0
CLM100130,68,14.7,32989.44,6648.04,7,48,Moderate,Property,Fire,1,3,16,1000,West,0
CLM100131,27,6.8,24489.51,3354.97,11,65,Moderate,Life,Accident,0,4,9,1500,East,0
CLM100132,73,19.6,13089.15,4456.79,11,39,Major,Health,Medical,1,2,4,2500,West,0
CLM100133,25,1.2,2151.12,719.88,11,84,Total Loss,Health,Fire,1,3,8,500,East,0
CLM100134,38,9.2,17546.88493651181,936.98,17,90,Moderate,Health,Medical,1,2,13,2500,Central,1
CLM100135,73,2.7,7852.37,5562.91,1,65,Minor,Health,Theft,1,3,9,2500,Central,0
CLM100136,23,7.4,15581.7,6250.78,12,79,Major,Property,Theft,0,1,0,2500,East,0
CLM100137,38,20.0,2006.91,5825.27,9,3,Minor,Auto,Medical,0,1,19,2000,South,0
CLM100138,74,17.8,12331.52,6027.64,6,33,Moderate,Life,Natural,1,2,2,500,Central,0
CLM100139,56,1.4,83142.64708486383,1284.65,11,40,Moderate,Auto,Fire,1,2,15,2000,East,1
CLM100140,41,11.5,43581.38531614974,5700.88,4,51,Major,Auto,Fire,0,2,4,1500,East,1
CLM100141,50,13.1,24923.92,1863.11,12,19,Total Loss,Health,Theft,1,2,12,500,North,0
CLM100142,35,4.6,18170.27,1235.12,3,46,Minor,Auto,Accident,1,0,4,500,West,0
CLM100143,73,3.3,4471.21,6178.71,6,76,Total Loss,Health,Fire,1,1,10,1500,North,0
CLM100144,45,18.1,2756.16,7170.55,13,33,Minor,Health,Theft,1,3,16,1500,West,0
CLM100145,74,19.4,27534.48,5875.32,8,43,Total Loss,Auto,Theft,1,0,2,2500,West,0
CLM100146,69,19.8,18836.48,6541.8,1,5,Major,Life,Medical,0,2,5,500,North,0
CLM100147,49,15.9,13837.16,7933.16,1,55,Minor,Auto,Medical,1,3,15,1000,South,0
CLM100148,29,13.4,4147.54,1510.67,5,28,Major,Auto,Medical,1,1,19,2500,East,0
CLM100149,65,7.2,14870.32,7738.64,2,52,Total Loss,Property,Accident,1,2,1,500,Central,0
CLM100150,59,3.8,3932.5856267469967,5008.98,7,22,Total Loss,Health,Fire,0,4,4,1500,East,1
CLM100151,44,2.0,2897.73,6599.4,2,58,Total Loss,Property,Accident,1,2,18,1500,North,0
CLM100152,27,14.0,6607.1,5376.27,12,47,Major,Life,Accident,0,3,19,1000,South,0
CLM100153,63,15.8,9797.75,4775.28,0,6,Moderate,Auto,Medical,1,1,10,500,Central,0
CLM100154,74,16.6,6994.885245105016,5777.14,17,90,Moderate,Property,Theft,1,2,17,2000,Central,1
CLM100155,69,18.3,2916.48,2901.94,13,31,Minor,Property,Natural,1,1,2,2500,South,0
CLM100156,59,17.7,20413.59,7432.04,5,77,Major,Auto,Theft,1,0,11,500,Central,0
CLM100157,49,20.0,13649.77,1364.69,10,60,Major,Auto,Theft,1,4,12,2000,Central,0
CLM100158,59,5.3,12445.24,2885.23,10,56,Major,Health,Theft,1,0,19,1500,South,0
CLM100159,43,15.4,10034.1,733.72,12,50,Total Loss,Health,Theft,1,4,19,1500,North,0
CLM100160,42,11.9,57288.86,2534.92,1,87,Major,Property,Accident,1,0,8,2000,North,0
CLM100161,28,5.6,1766.25,2136.6,1,18,Moderate,Auto,Medical,1,1,8,2000,Central,0
CLM100162,40,19.6,3988.24,872.23,6,26,Minor,Health,Medical,1,1,6,1000,North,0
CLM100163,51,18.0,16640.9,4188.31,4,62,Moderate,Health,Theft,1,0,0,500,North,0
CLM100164,74,3.0,3199.09,4014.77,7,59,Major,Life,Natural,1,3,0,1500,Central,0
CLM100165,69,1.0,26884.238598775057,1083.09,18,70,Minor,Property,Fire,1,0,18,2500,Central,1
CLM100166,57,13.9,13581.66,2463.88,1,60,Minor,Property,Theft,1,2,2,1500,North,0
CLM100167,40,12.3,54109.57,7649.92,12,86,Major,Property,Theft,1,3,6,500,West,0
CLM100168,46,18.7,33233.35,1330.52,9,44,Major,Auto,Natural,1,1,11,2000,South,0
CLM100169,48,5.1,44658.01,2787.64,7,20,Moderate,Life,Accident,1,0,15,1000,North,0
CLM100170,24,2.1,2808.84,768.97,6,43,Moderate,Health,Theft,1,3,12,1500,North,0
CLM100171,57,5.6,31391.18,1616.65,12,0,Total Loss,Life,Natural,0,2,17,1000,West,0
CLM100172,50,0.9,3073.26,5745.48,9,43,Total Loss,Health,Accident,1,4,16,2000,East,0
CLM100173,38,1.2,16033.13,3250.37,13,61,Total Loss,Health,Accident,1,1,8,500,East,0
CLM100174,19,18.3,20098.67,3890.57,7,60,Major,Life,Theft,0,3,13,1500,South,0
CLM100175,35,7.4,3630.55,1677.34,10,78,Major,Property,Accident,1,3,4,500,Central,0
CLM100176,64,8.5,16021.99,5616.05,2,88,Total Loss,Auto,Theft,0,3,10,2500,North,0
CLM100177,50,0.9,1808.3,6136.41,7,78,Total Loss,Life,Theft,1,0,19,500,West,0
CLM100178,54,5.8,18609.12447202946,1858.34,17,90,Moderate,Property,Medical,1,1,5,2000,Central,1
CLM100179,51,16.2,39104.74,837.45,5,49,Total Loss,Property,Fire,1,1,5,2000,Central,0
CLM100180,37,12.5,3826.26,1107.06,1,74,Total Loss,Auto,Fire,0,0,7,2500,East,0
CLM100181,52,15.2,2012.46,5427.84,5,40,Minor,Auto,Medical,1,0,0,500,North,0
CLM100182,68,9.2,18820.025088271614,1516.33,11,42,Total Loss,Property,Theft,0,0,8,2000,South,1
CLM100183,67,6.5,74525.68491734442,4204.39,4,90,Minor,Auto,Natural,1,2,9,2000,West,1
CLM100184,71,9.9,2196.57,1644.81,0,11,Total Loss,Property,Accident,1,3,16,2000,North,0
CLM100185,35,6.8,7590.03,1776.11,6,1,Minor,Health,Medical,1,2,2,2000,Central,0
CLM100186,63,16.9,79339.70005804523,532.7,8,34,Total Loss,Auto,Medical,1,1,12,1000,Central,1
CLM100187,41,6.3,2886.09,2906.18,0,13,Moderate,Health,Medical,0,0,7,1500,South,0
CLM100188,25,13.4,6580.5,1173.48,0,33,Major,Auto,Medical,0,3,19,1000,East,0
CLM100189,47,3.2,23604.62,3454.71,6,78,Minor,Property,Fire,1,4,13,2000,South,0
CLM100190,61,13.9,12753.01,4983.38,11,84,Major,Property,Theft,1,3,19,500,South,0
CLM100191,70,18.3,46757.99179337841,3256.49,6,85,Moderate,Property,Medical,0,4,7,1000,North,1
CLM100192,27,12.4,8154.014517161767,5788.11,13,56,Total Loss,Property,Medical,0,3,18,2500,East,1
CLM100193,40,11.4,38990.2,6060.89,5,84,Total Loss,Property,Medical,1,0,12,1500,Central,0
CLM100194,69,19.2,41980.18,5724.55,3,49,Moderate,Property,Natural,0,4,5,500,East,0
CLM100195,66,12.7,3531.84,7525.35,11,13,Major,Auto,Natural,1,4,3,1000,North,0
CLM100196,28,5.6,1516.94,2279.71,3,84,Major,Auto,Accident,1,1,5,1500,North,0
CLM100197,19,6.2,139934.06091190912,1920.92,20,89,Major,Health,Theft,1,3,19,1000,South,1
CLM100198,43,14.3,27027.579359146912,5072.84,18,69,Major,Life,Medical,1,2,1,2500,North,1
CLM100199,53,14.8,13732.12,4961.58,11,4,Minor,Auto,Accident,1,2,9,2000,East,0
CLM100200,50,6.4,15352.97,4325.74,13,65,Major,Auto,Accident,1,1,10,2500,South,0
CLM100201,64,7.2,24386.05,532.65,4,21,Minor,Life,Theft,1,1,10,2000,South,0
CLM100202,30,19.8,26068.74,4664.29,1,69,Moderate,Life,Natural,1,1,2,1500,South,0
CLM100203,57,2.5,11035.343492740976,7495.99,6,40,Total Loss,Health,Theft,1,0,10,1000,East,1
CLM100204,42,8.4,5050.32,3009.33,1,28,Minor,Health,Accident,0,0,7,1000,South,0
CLM100205,21,1.7,32413.22,7756.99,11,60,Major,Property,Theft,1,0,16,2500,West,0
CLM100206,59,16.5,26681.83,3175.68,3,70,Total Loss,Health,Natural,1,0,0,500,West,0
CLM100207,36,2.3,15420.08,1548.91,9,15,Minor,Health,Accident,0,1,15,1500,East,0
CLM100208,35,13.6,79598.35,3488.03,10,63,Total Loss,Life,Theft,1,1,19,2000,Central,0
CLM100209,54,1.6,20930.8,4209.58,13,13,Moderate,Auto,Medical,0,0,6,1500,Central,0
CLM100210,47,13.6,4647.07,5220.98,4,42,Major,Property,Medical,1,0,7,2500,South,0
CLM100211,36,16.9,29124.91,4286.59,5,75,Moderate,Health,Theft,0,4,12,1000,East,0
CLM100212,40,8.3,9035.3,4525.39,5,42,Total Loss,Life,Theft,1,3,4,2000,South,0
CLM100213,71,10.7,1552.34,680.5,8,69,Moderate,Property,Natural,1,4,17,2000,South,0
CLM100214,33,8.3,6816.32,2402.15,3,54,Major,Property,Accident,1,3,11,2000,West,0
CLM100215,18,6.4,22630.36,2830.22,12,75,Minor,Life,Theft,0,0,15,2000,North,0
CLM100216,29,16.2,49360.67,7903.16,13,30,Moderate,Health,Accident,1,0,2,1500,East,0
CLM100217,41,5.8,5847.28,2716.76,4,75,Major,Health,Medical,1,0,11,1500,North,0
CLM100218,51,14.6,5245.72,7224.34,5,73,Total Loss,Health,Accident,0,4,18,2500,West,0
CLM100219,70,4.5,28114.35395014698,2785.52,7,51,Moderate,Health,Fire,0,1,19,1000,North,1
CLM100220,74,5.4,26044.5,1220.83,5,26,Minor,Property,Natural,1,3,17,1000,West,0
CLM100221,25,7.1,21587.39,2357.13,1,51,Moderate,Auto,Natural,1,4,7,1500,Central,0
CLM100222,35,12.0,13313.31,2546.21,11,6,Total Loss,Property,Accident,1,0,12,2500,West,0
CLM100223,74,9.4,15970.23,7836.86,12,45,Total Loss,Property,Natural,0,1,7,500,East,0
CLM100224,65,15.0,5158.04,5557.19,6,32,Total Loss,Life,Accident,0,4,9,2000,Central,0
CLM100225,22,4.7,9499.68,7487.61,2,7,Moderate,Property,Accident,1,3,13,1000,South,0
CLM100226,43,0.7,10255.337787977782,6762.46,15,41,Moderate,Health,Medical,1,0,14,2000,East,1
CLM100227,47,15.6,33366.62,4839.49,9,60,Moderate,Life,Accident,1,3,14,1000,East,0
CLM100228,71,16.5,4433.2878207917065,5565.41,9,90,Minor,Life,Natural,1,0,5,500,East,1
CLM100229,30,1.7,18079.36,5186.28,8,59,Major,Life,Fire,1,0,13,1000,North,0
CLM100230,36,12.4,5522.32,5496.97,14,84,Moderate,Life,Theft,0,2,5,500,North,0
CLM100231,46,7.9,10681.86,2485.8,14,23,Minor,Life,Natural,0,3,0,1000,South,0
CLM100232,20,16.0,6337.55,3560.94,11,6,Total Loss,Health,Fire,0,1,9,1500,North,0
CLM100233,43,17.6,6856.7,4944.62,14,60,Moderate,Auto,Natural,1,0,18,2000,East,0
CLM100234,57,17.1,5524.55,769.46,12,82,Moderate,Auto,Fire,1,1,10,2500,West,0
CLM100235,29,15.7,21962.93,4121.26,4,35,Moderate,Life,Natural,1,4,2,2500,South,0
CLM100236,19,5.7,7828.87,6947.95,8,26,Minor,Auto,Theft,0,0,5,1000,South,0
CLM100237,28,16.3,20438.97,4192.76,9,28,Moderate,Property,Medical,0,0,8,2500,East,0
CLM100238,61,10.9,10134.02,4642.43,12,86,Moderate,Auto,Medical,1,0,8,2000,Central,0
CLM100239,45,1.5,12886.1,2014.29,9,19,Major,Property,Theft,1,1,3,1500,North,0
CLM100240,35,9.4,37339.82869189192,6457.58,14,82,Minor,Health,Natural,1,2,2,1500,Central,1
CLM100241,30,18.9,134919.94274581544,3191.59,17,87,Major,Life,Fire,1,3,19,500,East,1
CLM100242,54,17.8,20238.42394352862,7674.41,15,90,Major,Property,Accident,1,0,18,2500,Central,1
CLM100243,39,2.5,4491.93,7952.86,5,2,Major,Health,Natural,0,3,10,2000,East,0
CLM100244,29,15.0,37420.85,7370.0,7,38,Major,Health,Theft,1,3,18,2500,North,0
CLM100245,19,16.2,8554.579997734143,1136.58,6,90,Total Loss,Life,Medical,0,3,16,2000,North,1
CLM100246,54,5.8,27974.77,2998.87,4,44,Moderate,Auto,Medical,0,1,7,500,South,0
CLM100247,24,9.7,6366.276633208335,7588.53,5,90,Major,Health,Natural,1,3,5,2500,Central,1
CLM100248,43,14.4,51260.06714973024,6534.0,12,65,Minor,Auto,Fire,1,4,4,1500,Central,1
CLM100249,43,9.1,10173.39481375517,7333.88,4,60,Moderate,Auto,Theft,0,1,7,500,Central,1
CLM100250,41,2.7,39475.98,4794.15,10,5,Major,Auto,Theft,0,1,7,2500,Central,0
CLM100251,29,14.3,13486.42,4102.98,11,7,Major,Property,Fire,1,4,2,1500,West,0
CLM100252,33,18.3,19504.574750110718,1298.72,6,42,Minor,Auto,Fire,1,2,18,1500,South,1
CLM100253,40,13.2,3267.97,6796.04,14,14,Total Loss,Auto,Natural,1,2,15,2000,South,0
CLM100254,57,15.6,7958.95,6088.56,1,7,Minor,Health,Natural,0,0,9,1500,West,0
CLM100255,26,7.5,19312.72,941.57,14,53,Total Loss,Life,Medical,1,2,2,1000,Central,0
CLM100256,49,4.1,23829.365146458087,2070.61,18,33,Total Loss,Property,Medical,0,0,8,2500,West,1
CLM100257,32,13.0,5237.32,4679.58,7,28,Total Loss,Auto,Fire,1,3,7,2500,Central,0
CLM100258,54,6.9,13920.27,5633.02,3,33,Major,Life,Accident,0,0,7,2000,West,0
CLM100259,30,17.3,9114.68,1532.53,9,6,Major,Auto,Accident,0,2,7,1500,South,0
CLM100260,22,2.9,3719.34,2336.19,7,39,Total Loss,Auto,Accident,0,0,19,2000,West,0
CLM100261,28,9.0,8288.644141219995,1948.33,9,90,Total Loss,Health,Theft,0,1,6,1000,East,1
CLM100262,27,8.2,19437.41,2149.98,7,12,Major,Life,Natural,0,2,13,2000,Central,0
CLM100263,69,18.8,56137.61,7405.35,7,61,Total Loss,Health,Fire,1,0,16,2500,West,0
CLM100264,30,3.5,10219.163038346078,5868.65,14,90,Major,Health,Medical,0,2,11,2000,Central,1
CLM100265,58,0.7,23251.9,6028.3,11,84,Total Loss,Auto,Accident,1,4,4,2500,North,0
CLM100266,70,5.1,2375.26,6454.96,8,64,Major,Auto,Medical,1,2,1,500,Central,0
CLM100267,63,16.5,8208.71,3174.3,1,40,Minor,Auto,Natural,0,4,14,1000,West,0
